carat,cut,color,price
0.71,Ideal,G,2950
1.55,Premium,G,10499
0.51,Good,E,1170
1.01,Ideal,D,10797
0.47,Ideal,F,1226
0.3,Premium,F,737
0.8,Good,F,3477
0.31,Very Good,G,625
0.8,Ideal,H,3972
0.54,Ideal,H,1774
0.24,Very Good,F,404
0.91,Good,H,3485
0.76,Fair,H,2193
0.31,Ideal,E,680
1.01,Premium,F,4533
1.13,Ideal,G,10228
0.4,Ideal,G,745
1.08,Ideal,E,10300
0.43,Premium,E,1304
0.5,Ideal,I,1066
1.02,Premium,F,7677
0.36,Ideal,D,851
0.52,Very Good,F,1581
0.58,Ideal,E,1670
1.05,Ideal,G,8022
2.06,Ideal,I,18779
0.9,Very Good,F,4504
0.71,Good,I,2450
1.01,Premium,F,4989
1.16,Ideal,D,5793
1.54,Very Good,J,7453
0.51,Ideal,F,1274
1.02,Premium,F,7485
0.71,Very Good,D,2681
0.7,Good,I,2335
0.9,Very Good,H,4021
0.74,Ideal,D,3087
0.33,Ideal,F,893
0.78,Ideal,E,3601
1.13,Ideal,F,3542
0.54,Ideal,F,1260
0.36,Ideal,F,1056
1.5,Premium,I,8820
0.3,Very Good,H,540
1.31,Premium,H,6089
1.18,Premium,G,9304
1.0,Fair,E,4480
0.3,Premium,H,675
1.26,Premium,I,5983
0.37,Very Good,E,925
2.32,Premium,I,10913
0.91,Good,G,3340
0.72,Ideal,G,3012
1.5,Premium,D,8108
2.01,Premium,H,16287
0.3,Ideal,G,764
1.01,Premium,F,5249
1.13,Fair,J,4123
0.41,Premium,G,923
0.3,Very Good,D,552
0.9,Very Good,G,4531
1.25,Very Good,F,9377
1.51,Very Good,F,14165
1.51,Very Good,F,10838
2.11,Ideal,H,12226
0.4,Very Good,E,849
1.09,Ideal,E,7796
0.38,Very Good,E,1053
0.32,Ideal,H,720
0.91,Very Good,H,4922
0.41,Good,J,611
1.47,Very Good,J,6763
0.29,Very Good,E,504
0.33,Ideal,F,666
0.41,Premium,G,899
1.31,Premium,H,6095
1.03,Ideal,E,4845
1.11,Ideal,F,7473
1.03,Ideal,H,4283
